year,n_paired,rmse_delta_point,rmse_delta_lo,rmse_delta_hi,coverage
2021,1401,-0.00207338659073919,-0.00914315853689206,0.004640837944667884,0.9935760171306209
2022,1062,-0.005203260931681886,-0.010739091927785938,0.0006797241667973462,0.9962335216572504
2023,1308,0.0011065174548319234,-0.004746041688821856,0.0062384980330977835,0.9892966360856269
2024,1424,-0.001790572468416407,-0.006616676737882931,0.002918386513245507,0.9950842696629213
pooled,5195,-0.0018303003380979455,-0.0046902011625754355,0.0008899782280422317,
