stat,n_paired,rmse_delta_point,rmse_delta_lo,rmse_delta_hi,composite_fpts_equivalent,verdict
rushing_yards,3291,-0.09308579827109753,-0.191546941922764,0.005813962893504132,-0.009308579827109753,NULL
rushing_tds,3291,0.001028470966539352,-0.0013817663800635815,0.0032804614336451126,0.006170825799236113,NULL
receptions,3291,-0.0003714187844610084,-0.0022070042504616083,0.0015935968160772913,-0.0003714187844610084,NULL
receiving_yards,3291,-0.034361971283559,-0.08502752962531712,0.0149764495521758,-0.0034361971283559,NULL
receiving_tds,3291,-0.0002894417571298047,-0.0012258880329446859,0.000605351441892489,-0.0017366505427788281,NULL
