stat,n_paired,rmse_direct,rmse_decomposed,rmse_delta_point,rmse_delta_lo_95,rmse_delta_hi_95,verdict,expected_composite_fpts_delta
receptions,8460,2.032438063371515,2.028201160403738,-0.004236902967777123,-0.007937053379990473,-0.0004334876075121336,SIGNAL,-0.004236902967777123
receiving_yards,8460,31.165383147213976,31.16001626248659,-0.005366884727386889,-0.06005962282648136,0.049217717149566895,NULL,-0.0005366884727386889
receiving_tds,8460,0.47925283273658387,0.4787653743382907,-0.0004874583982931724,-0.0011444665930501168,0.0001729234067328773,NULL,-0.0029247503897590343
