rank,gsis_id,position,season_total_mean,n_weeks,full_name,team
547,00-0036096,RB,5.172189162796795,2,J.J. Taylor,
548,00-0034808,RB,4.5533081621283475,3,John Kelly,
549,00-0033455,TE,4.551046885523305,4,Anthony Firkser,DET
550,00-0039420,TE,4.544671532729292,17,Jaheim Bell,PIT
551,00-0039757,RB,4.528296813260015,2,Terrell Jennings,NE
552,00-0038741,TE,4.475077691309034,6,John Stephens Jr.,
553,00-0039648,TE,4.402141238239985,17,David Martin-Robinson,TEN
554,00-0036387,WR,4.383911893412603,1,Jalen Reagor,
555,00-0037085,RB,4.221545563889802,1,Tyler Badie,DEN
556,00-0038930,RB,4.128401813796142,1,Carlos Washington,ATL
557,00-0039614,WR,3.945229945374997,1,Jermaine Jackson,
558,00-0036133,WR,3.9323398929074944,1,James Proche,TEN
559,00-0038145,TE,3.9100425703248693,8,,
560,00-0036913,WR,3.8458003767467583,1,Kadarius Toney,
561,00-0039471,RB,3.7158819459543944,1,Frank Gore Jr.,BUF
562,00-0037451,TE,3.2115294046077922,4,,
563,00-0038643,TE,2.689148154565802,6,Brayden Willis,SF
564,00-0039458,TE,2.4595359486386905,7,Brenden Bates,CLE
565,00-0035311,RB,2.161760793222975,2,Myles Gaskin,SEA
566,00-0031299,TE,2.0766230555586125,3,Jordan Matthews,
567,00-0034208,RB,1.8266959483408352,1,Mike Boone,
568,00-0039316,TE,1.6686378255381231,1,Baylor Cupp,
569,00-0038920,TE,1.6101921225915867,4,John Samuel Shenker,
570,00-0038397,RB,1.1967762620911246,1,Evan Hull,
571,00-0038590,TE,0.954887956197022,8,Justin Shorter,LV
572,00-0039275,TE,0.5963561973269174,4,,
