rank,gsis_id,position,season_total_mean,n_weeks,full_name,team
335,00-0038108,QB,71.78555459889807,8,Bailey Zappe,NYJ
336,00-0038122,QB,71.37402160289979,8,Desmond Ridder,
337,00-0035993,QB,71.07893650112659,6,Tyler Huntley,BAL
338,00-0035298,WR,71.04826084451312,18,Scotty Miller,PIT
339,00-0038705,RB,70.87877472878029,14,Emari Demercado,KC
340,00-0038550,QB,70.68478873825663,18,Hendon Hooker,TEN
341,00-0032464,WR,69.78274862926695,12,Kalif Raymond,CHI
342,00-0038941,WR,69.75194484316327,17,Tyler Scott,LAR
343,00-0039874,RB,69.70615016546161,17,Jaylen Wright,MIA
344,00-0039356,TE,69.19777164002139,17,Ja'Tavion Sanders,CAR
345,00-0035628,RB,68.97843754001813,17,D'Ernest Johnson,NE
346,00-0034272,WR,68.39706383521279,11,Marquez Valdes-Scantling,DAL
347,00-0039491,WR,68.36010655469892,10,Jalen Coker,CAR
348,00-0039074,TE,68.12918459837906,18,Davis Allen,LAR
349,00-0039921,RB,67.53809074519145,16,Trey Benson,ARI
350,00-0033925,RB,67.23637698187035,17,D'Onta Foreman,
351,00-0031763,WR,66.66320543261159,14,DeAndre Carter,CLE
352,00-0037805,TE,65.49550035488956,17,Jeremy Ruckert,NYJ
353,00-0037539,TE,65.41410328956984,18,Lucas Krull,DEN
354,00-0035243,RB,64.96530590570664,10,Miles Sanders,DAL
355,00-0037475,TE,64.14865998663566,18,Stone Smartt,PHI
356,00-0036628,TE,64.01660494420521,20,John Bates,WAS
357,00-0039392,WR,63.82999048954957,17,Jha'Quan Jackson,JAC
358,00-0033217,TE,63.49179142365855,17,Mo Alie-Cox,IND
359,00-0033280,RB,63.40597468073443,4,Christian McCaffrey,SF
360,00-0026300,QB,63.083454503195846,19,Josh Johnson,CIN
361,00-0039816,WR,63.015444270373216,17,Anthony Gould,IND
362,00-0036497,WR,62.55497229062609,17,Tim Jones,JAC
363,00-0034184,RB,62.47483934872867,9,Gus Edwards,
364,00-0038558,TE,62.10382670926425,18,Darnell Washington,PIT
365,00-0036527,WR,62.025921566953556,13,DJ Turner,LV
366,00-0038396,RB,61.584650823669996,17,Eric Gray,NYG
367,00-0035341,WR,61.03694134272135,13,Trenton Irwin,NYJ
368,00-0036906,RB,60.98763515702695,15,Khalil Herbert,NYJ
369,00-0039050,TE,60.925273893458375,18,Payne Durham,TB
370,00-0037557,RB,60.40171755842845,19,Ronnie Rivers,LAR
371,00-0039793,TE,60.210765445161464,17,AJ Barner,SEA
372,00-0036876,TE,60.11039372660237,17,Kylen Granson,TEN
373,00-0034177,QB,60.1016407652569,7,Tim Boyle,
374,00-0034115,RB,59.98091793793962,16,Jeffery Wilson,MIA
375,00-0039041,TE,59.89591408851827,17,Elijah Higgins,ARI
376,00-0039920,WR,59.71958489203611,17,Malachi Corley,CLE
377,00-0039798,RB,59.66550883640166,17,Isaiah Davis,NYJ
378,00-0039746,RB,58.97321639080341,21,Will Shipley,PHI
379,00-0036422,TE,58.90761676684054,18,Adam Trautman,DEN
380,00-0036232,TE,58.62778518392561,15,Harrison Bryant,SEA
