year,n_paired,rmse_delta_point,rmse_delta_lo,rmse_delta_hi,coverage
2021,1401,0.03434428326978889,-0.06236979249275478,0.1343291177915688,0.9935760171306209
2022,1062,-0.03639691568416481,-0.13618124737597456,0.06976182326790023,0.9962335216572504
2023,1308,0.024802930088412722,-0.06266453402778645,0.11169004933344694,0.9892966360856269
2024,1424,-0.07539980499666399,-0.16326709449937926,0.006970793333328449,0.9950842696629213
pooled,5195,-0.012102568743380004,-0.056381000217368714,0.03532025637785823,
